id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23639046,Luxury family home,174863967,Vicky,,Ward 15,-34.04411,18.8309,Entire home/apt,9000,10,0,,,1,249,0,
24231241,House in the Glen,2076419,Therese,,Ward 77,-33.9401,18.40335,Entire home/apt,36500,5,1,2022-01-05,0.08,17,8,1,
24231390,Beach House,195593680,Vivienne,,Ward 54,-33.94848,18.3795,Entire home/apt,33900,4,4,2022-11-06,0.10,2,251,3,
24231501,Pentagon,123002666,In Residence,,Ward 54,-33.93314,18.37994,Entire home/apt,165000,4,0,,,28,63,0,
23862461,"Comfy, spacious room in ideal location",23880836,Sarah,,Ward 115,-33.93283,18.40871,Private room,700,1,16,2021-12-19,0.31,5,275,0,
24231503,Beyond,123002666,In Residence,,Ward 54,-33.93283,18.38067,Entire home/apt,209000,5,0,,,28,104,0,
24231505,Anassa,123002666,In Residence,,Ward 54,-33.93208,18.3792,Entire home/apt,130000,4,0,,,28,90,0,
23645533,Vineyard View,176989679,Enrica,,Ward 105,-33.82482,18.741,Private room,980,1,0,,,3,355,0,
23864131,Trendy Loft | Soho on Rose,179294142,Propr,,Ward 77,-33.91804,18.41676,Entire home/apt,2070,2,171,2022-12-22,2.95,3,271,45,
23647273,Double room near Bottelary Road,153132005,Elisa,,Ward 6,-33.8655,18.74536,Private room,350,1,15,2020-06-12,0.32,2,242,0,
24561652,Under the Eaves in Country feel in the City,78481503,Patsy,,Ward 15,-34.06044,18.85284,Private room,800,2,1,2022-11-10,0.60,3,215,1,
24231673,Villa Maxima,50508628,Achim & Shubha,,Ward 54,-33.9486,18.38805,Entire home/apt,67931,4,1,2018-12-03,0.02,13,12,0,
24231680,Aquatic Villa,50508628,Achim & Shubha,,Ward 54,-33.95307,18.38186,Entire home/apt,61138,4,0,,,13,233,0,
24231683,Hollywood Mansion,61441,Kevin,,Ward 54,-33.96534,18.37714,Entire home/apt,88957,3,3,2022-05-09,0.06,7,295,1,
24231730,Blinkwater Villa,22219490,Alma Horn,,Ward 54,-33.95522,18.37923,Entire home/apt,35000,3,2,2020-02-13,0.04,2,177,0,
24231777,North,2076419,Therese,,Ward 115,-33.91072,18.40288,Entire home/apt,58000,3,1,2019-01-02,0.02,17,327,0,
24232052,Hope House,26101435,Karen,,Ward 77,-33.94295,18.41401,Entire home/apt,76073,3,0,,,1,355,0,
23871066,Large Separate Entrance Bed Room In Green Point,2469634,Clyde,,Ward 115,-33.91005,18.40866,Private room,950,3,4,2022-03-10,0.08,2,329,1,
24563582,Airy City Centre Apartment near Company's Gardens,209288695,Carol,,Ward 115,-33.92609,18.41593,Entire home/apt,543,2,155,2022-12-16,2.77,1,132,43,
23871511,Mouille Point Luxury Apartment,25162771,Graham,,Ward 115,-33.90272,18.40086,Entire home/apt,5000,7,7,2020-02-08,0.14,1,251,0,
24564894,"Constantia Wine Route, Golf Courses and Beaches.",59477020,Marietjie,,Ward 73,-34.03415,18.46416,Entire home/apt,2000,14,1,2019-01-02,0.02,1,337,0,
24234328,Windflower Cottage in Claremont,182628957,Robyn,,Ward 58,-33.98117,18.48406,Entire home/apt,700,2,18,2022-11-28,0.37,1,311,7,
23873699,Spacious Apartment in a Former Art Deco Cinema,7304467,Laurene,,Ward 115,-33.92129,18.42286,Entire home/apt,3014,2,140,2022-12-14,2.46,21,339,39,
23889122,Oak Cottage  - Laid-back Noordhoek comfort,57720048,Darren,,Ward 69,-34.10151,18.36796,Entire home/apt,1443,5,7,2019-01-20,0.12,1,28,0,
24571732,"5 Gannet, with a beautiful Ocean & Mountain view.",165338792,Craig,,Ward 61,-34.16654,18.42744,Entire home/apt,636,1,91,2020-03-18,1.63,1,121,0,
23891691,Walk to the beach and restaurants.*FREE WIFI*,94613183,Janine,,Ward 23,-33.7819,18.45449,Entire home/apt,1000,3,4,2019-12-06,0.08,1,81,0,
24575176,Luxury 3 Bedroom apartment Century City Majorca 06,64072373,Ignus,,Ward 4,-33.88919,18.52181,Entire home/apt,2000,3,4,2021-01-05,0.07,3,0,0,
23901491,Cosy 2 bedroom flat,273170955,Anna-Marie,,Ward 85,-34.1128,18.84691,Entire home/apt,750,1,15,2022-10-01,0.29,1,0,4,
24235300,Water Club - Cape Town,182724796,Wéna,,Ward 115,-33.90252,18.40122,Entire home/apt,8700,7,0,,,1,356,0,
23910555,The Heart of Cape Town Sea Point,179718462,Karin,,Ward 54,-33.91255,18.38884,Entire home/apt,2000,1,113,2022-12-12,2.08,1,319,13,
24242200,Sunset Reef Guesthouse-,182771856,Stuart,,Ward 61,-34.14305,18.33113,Entire home/apt,730,1,151,2022-12-18,2.64,1,100,23,
24591815,Big Sky Self Catering Studio,139616459,Craig,,Ward 107,-33.80782,18.48735,Entire home/apt,550,2,11,2022-11-07,0.20,1,258,7,
24594051,"Boulders Beach Studio apartment, Sea View, Deck.",47627872,Heather,,Ward 61,-34.19887,18.45316,Entire home/apt,1650,1,45,2022-10-16,0.81,5,241,14,
23911293,Modern Charm,120580859,Bridgit,,Ward 8,-33.91166,18.67862,Private room,599,1,0,,,1,83,0,
24594054,"Boulders Beach, 2 Bed garden apartment, Sea View",47627872,Heather,,Ward 61,-34.19853,18.45173,Entire home/apt,2500,1,22,2022-12-09,0.56,5,237,13,
23912488,"Private, comfortable apartment in Pinelands",179733213,Karina,,Ward 53,-33.93266,18.51787,Entire home/apt,296,2,99,2022-07-31,1.75,1,51,4,
24594190,"Boulders Beach,Honeymoon suite, Panoramic Sea View",47627872,Heather,,Ward 61,-34.19846,18.45256,Entire home/apt,2200,1,135,2022-12-09,2.40,5,208,31,
24594199,Waters Edge Superior 2-Bedroom 2-Bath Apartment,12545676,Ken,,Ward 55,-33.89125,18.51528,Entire home/apt,3000,4,8,2022-11-03,0.14,3,339,4,
24250083,Exclusive Apartment with Mountain Views(lLoadShedding Free),9389211,Camilla,,Ward 115,-33.92445,18.42135,Entire home/apt,1577,2,89,2022-11-13,1.56,3,267,25,
24260406,Stylish Private Single Room,114515924,Lizna,,Ward 105,-33.82179,18.67331,Entire home/apt,250,3,38,2022-02-07,0.66,3,0,1,
23917801,"5 on Sauvignon, Lots of privacy, most amazing view",48881672,Annamarie,,Ward 70,-33.85711,18.59973,Private room,950,2,15,2021-08-01,0.27,1,146,0,
24260922,"Nirvana Bliss, Blouberg Beachfront Apartment.",52936137,Krishin,,Ward 23,-33.81846,18.47561,Entire home/apt,1608,2,2,2022-12-22,2,1,333,2,
24271278,A little bit of Majic,183048819,Natalie,,Ward 70,-33.85993,18.61601,Entire home/apt,1000,60,0,,,1,90,0,
24596450,Bellevue Cottage,105677552,Sharon,,Ward 15,-34.06062,18.81059,Entire home/apt,850,2,24,2022-11-27,0.49,1,152,10,
23923851,The Pomegranate - Hospitality is our mission,180279086,Susan,,Ward 21,-33.84398,18.647,Entire home/apt,650,2,36,2022-02-08,0.62,1,61,1,
23927726,"A103 Waterstone - 2 Balconies, Free WiFi, Parking and Private BBQ",2516345,Jaco,,Ward 55,-33.88506,18.51534,Entire home/apt,2129,3,3,2019-05-28,0.05,68,311,0,
24597845,"A Mini Kirstenbosch near the Gardens, Forests and Winefarms",77513634,Helen,,Ward 62,-33.99512,18.44787,Entire home/apt,1900,1,62,2022-12-07,1.11,4,271,14,
24599711,Bishopscourt Home with Mountain & City Views,77513634,Helen,,Ward 62,-33.99563,18.44756,Entire home/apt,8000,7,2,2022-09-10,0.08,4,292,1,
24610575,Seperate Modern Garden Cottage,178496966,Farah,,Ward 49,-33.97285,18.50575,Entire home/apt,479,1,3,2020-01-17,0.05,2,0,0,
24272222,Garden Apartment,183058001,David,,Ward 71,-34.06031,18.44263,Entire home/apt,895,2,84,2020-07-31,1.47,2,241,0,
23933572,Stylish Cape Town Pad | Central | WiFi | Aircon.,125948153,Anel & Heinrich,,Ward 115,-33.92609,18.41604,Entire home/apt,1100,2,39,2021-10-12,0.68,1,0,0,
24277091,M&B on 56 Sipres,183101732,Berenice,,Ward 53,-33.92702,18.53891,Private room,750,3,0,,,1,90,0,
